ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2022-01-03T00:00:00.000000000Z,2022-01-02T23:22:02.906372921Z,10,1,206323,A,N,0,4743.250000000,2,168,0,80310,4743.250000000,4770.000000000,2,1,1,1,,4781.250000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:24:41.854645743Z,2022-01-03T00:24:41.854269725Z,10,1,206323,M,B,0,4743.500000000,2,130,20087,160793,4743.500000000,4770.000000000,2,1,1,1,,4781.250000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:24:44.606235524Z,2022-01-03T00:24:44.605380379Z,10,1,206323,M,B,0,4744.000000000,2,130,22716,160965,4744.000000000,4770.000000000,2,1,1,1,,4781.250000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:24:44.719441680Z,2022-01-03T00:24:44.718833045Z,10,1,206323,M,B,0,4744.250000000,2,130,24658,161128,4744.250000000,4770.000000000,2,1,1,1,,4781.250000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:24:45.022099239Z,2022-01-03T00:24:45.021839847Z,10,1,206323,M,B,0,4744.500000000,2,130,16780,161335,4744.500000000,4770.000000000,2,1,1,1,,4781.250000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:24:45.050395765Z,2022-01-03T00:24:45.050167751Z,10,1,206323,M,A,1,4781.500000000,2,130,19989,161420,4744.500000000,4770.000000000,2,1,1,1,,4781.500000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:24:45.124118809Z,2022-01-03T00:24:45.123999225Z,10,1,206323,M,B,0,4744.750000000,2,130,16437,161611,4744.750000000,4770.000000000,2,1,1,1,,4781.500000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:24:45.152461299Z,2022-01-03T00:24:45.152157375Z,10,1,206323,M,A,1,4781.750000000,2,130,16409,161650,4744.750000000,4770.000000000,2,1,1,1,,4781.750000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:24:45.155464322Z,2022-01-03T00:24:45.155241349Z,10,1,206323,M,A,1,4782.000000000,2,130,16228,161728,4744.750000000,4770.000000000,2,1,1,1,,4782.000000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:24:45.229523433Z,2022-01-03T00:24:45.229405601Z,10,1,206323,M,B,0,4745.000000000,2,130,16345,161875,4745.000000000,4770.000000000,2,1,1,1,,4782.000000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:24:54.008726609Z,2022-01-03T00:24:54.008425169Z,10,1,206323,M,B,0,4745.250000000,2,130,16999,163462,4745.250000000,4770.000000000,2,1,1,1,,4782.000000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:28:06.933237468Z,2022-01-03T00:28:06.932950447Z,10,1,206323,M,A,1,4782.250000000,2,130,23664,173364,4745.250000000,4770.000000000,2,1,1,1,,4782.250000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:28:06.933450192Z,2022-01-03T00:28:06.932995989Z,10,1,206323,M,B,0,4745.500000000,2,130,25275,173367,4745.500000000,4770.000000000,2,1,1,1,,4782.250000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:30:10.271523910Z,2022-01-03T00:30:10.271277157Z,10,1,206323,M,A,1,4782.500000000,2,130,16989,178251,4745.500000000,4770.000000000,2,1,1,1,,4782.500000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:30:10.271680250Z,2022-01-03T00:30:10.271384611Z,10,1,206323,M,B,0,4745.750000000,2,130,17424,178272,4745.750000000,4770.000000000,2,1,1,1,,4782.500000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:30:48.299185940Z,2022-01-03T00:30:48.298593449Z,10,1,206323,M,A,1,4782.750000000,2,130,18830,179666,4745.750000000,4770.000000000,2,1,1,1,,4782.750000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:30:48.438894936Z,2022-01-03T00:30:48.438572423Z,10,1,206323,M,B,0,4746.000000000,2,130,17204,179763,4746.000000000,4770.000000000,2,1,1,1,,4782.750000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:37:02.544371643Z,2022-01-03T00:37:02.543831247Z,10,1,206323,M,A,1,4783.000000000,2,130,17162,189224,4746.000000000,4770.000000000,2,1,1,1,,4783.000000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:37:02.544608527Z,2022-01-03T00:37:02.544296709Z,10,1,206323,M,B,0,4746.250000000,2,130,17973,189254,4746.250000000,4770.000000000,2,1,1,1,,4783.000000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
2022-01-03T00:37:10.794462176Z,2022-01-03T00:37:10.794220233Z,10,1,206323,M,A,1,4783.250000000,2,130,18186,189589,4746.250000000,4770.000000000,2,1,1,1,,4783.250000000,0,2,0,1,,4800.000000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,ESZ2
